2023,2024,NATUREZA,AREA,DEPARTAMENTO DE POLICIA,REGIAO,MUNICIPIO
1433,1169,FURTO - OUTROS,Capital,078 DP - Jardins,CAPITAL,São Paulo
751,823,FURTO - OUTROS,Capital,023 DP - Perdizes,CAPITAL,São Paulo
866,731,FURTO - OUTROS,Capital,001 DP - Sé,CAPITAL,São Paulo
681,676,FURTO - OUTROS,Capital,004 DP - Consolação,CAPITAL,São Paulo
809,676,FURTO - OUTROS,Capital,012 DP - Pari,CAPITAL,São Paulo
682,661,FURTO - OUTROS,Capital,014 DP - Pinheiros,CAPITAL,São Paulo
940,504,FURTO - OUTROS,Capital,003 DP - Campos Elísios,CAPITAL,São Paulo
436,478,FURTO - OUTROS,Capital,009 DP - Carandiru,CAPITAL,São Paulo
509,438,FURTO - OUTROS,Capital,011 DP - Santo Amaro,CAPITAL,São Paulo
449,410,FURTO - OUTROS,Capital,008 DP - Brás,CAPITAL,São Paulo
230,395,FURTO - OUTROS,Capital,096 DP - Monções,CAPITAL,São Paulo
408,378,FURTO - OUTROS,Capital,015 DP - Itaim Bibi,CAPITAL,São Paulo
424,374,ROUBO - OUTROS,Capital,047 DP - Capão Redondo,CAPITAL,São Paulo
319,344,ROUBO - OUTROS,Capital,037 DP - Campo Limpo,CAPITAL,São Paulo
302,336,FURTO - OUTROS,Capital,013 DP - Casa Verde,CAPITAL,São Paulo
320,330,FURTO - OUTROS,Capital,002 DP - Bom Retiro,CAPITAL,São Paulo
296,327,FURTO - OUTROS,Capital,007 DP - Lapa,CAPITAL,São Paulo
297,326,FURTO - OUTROS,Capital,016 DP - Vila Clementino,CAPITAL,São Paulo
314,324,FURTO - OUTROS,Capital,077 DP - Santa Cecília,CAPITAL,São Paulo
370,303,FURTO - OUTROS,Capital,005 DP - Aclimação,CAPITAL,São Paulo
241,301,FURTO - OUTROS,Capital,037 DP - Campo Limpo,CAPITAL,São Paulo
323,294,FURTO - OUTROS,Interior,002 DP - Ribeirão Preto,Ribeirão Preto,Ribeirão Preto
307,285,FURTO - OUTROS,Capital,065 DP - Artur Alvim,CAPITAL,São Paulo
271,280,ROUBO - OUTROS,Capital,014 DP - Pinheiros,CAPITAL,São Paulo
544,279,FURTO - OUTROS,Interior,001 DP - Campinas,Campinas,Campinas
352,275,FURTO - OUTROS,Capital,027 DP - Campo Belo,CAPITAL,São Paulo
258,272,FURTO - OUTROS,Capital,017 DP - Ipiranga,CAPITAL,São Paulo
291,272,FURTO - OUTROS,Capital,036 DP - Vila Mariana,CAPITAL,São Paulo
229,254,FURTO - OUTROS,Capital,092 DP - Parque Santo Antônio,CAPITAL,São Paulo
